,Year,GDPPCAP,Life expectancy
0,1995,6480.01473141806,67.5439024390244
1,1996,6891.70965981442,69.6121951219512
2,1997,7979.35824003525,69.809756097561
3,1998,8450.77168168796,69.3585365853659
4,1999,8412.06677647343,70.0634146341463
5,2000,9423.12010105601,70.4170731707317
6,2001,10316.2499165803,70.2585365853659
7,2002,11663.2715046648,70.9048780487805
8,2003,13133.2295806355,71.3170731707317
9,2004,14536.4357518937,71.909756097561
10,2005,16634.8927393745,72.5682926829268
11,2006,19344.0518292848,72.6914634146341
12,2007,22198.0167377302,72.8146341463415
13,2008,22802.3421764634,73.7707317073171
14,2009,20478.090033102,74.8243902439024
15,2010,21618.3569485855,75.4292682926829
16,2011,24557.2361475947,76.2292682926829
17,2012,25996.0467779508,76.3268292682927
18,2013,27464.5186781161,77.1414634146341
19,2014,28945.4653303277,77.0341463414634
20,2015,29175.9259267894,77.590243902439
21,2016,31312.7522996878,77.6414634146342
22,2017,33821.93290847,78.0926829268293
23,2018,36249.3581462876,78.2439024390244
24,2019,38961.5974427864,78.6463414634147
25,2020,38536.4580808802,78.5951219512195
26,2021,42391.7300545337,76.7414634146342
